Sat Feb 16 2019 22:21:19 GMT + 0100 (CET),@AmitShah,Amit Shah,"I'm grateful to the people of Assam, who braved adverse weather and came in large numbers at ""Yuva Pravah"" Vijay Lakshya-2019 Rally in North Lakhimpur.",0,0,,https://pbs.twimg.com/media/Dzmh9RqVsAIocOp.jpg,,611,1615,Twitter for iPhone,12522711,282,2395,?,Tue May 21 2013 18:13:54 GMT + 0200 (CEST),,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,This is a time when we all have to come together and provide more force to our resolve to make India stronger and safer. I appeal to all political parties that let us rise above politics and tell the whole world that we are together. There is nothing ahead of us for all of us.,,0,,,,9172,35518,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,"130 crore Indians, who are dedicated to dedicating their life to the service of the nation, stand in full solidarity with the families of the brave soldiers of our country. The coming generations will remember their heroism. We pray for the wounded to be as quick as possible.",,0,,,,5390,19217,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,"The whole country is deeply grieved by the cowardly terrorist attack in Pulwama, there is resentment in the country against the barbarous mindset promoting such hatred and violence. Prime Minister Mr.Narendramodi has assured the country that the sacrifice of our martyrs will not be wasted.",,0,,,,7398,27619,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,These are times when we all must come together and strengthen our resolve to make India stronger and safer. I appeal to the political class- let us rise above politics and show that we are together when it comes to matters of national security. Nothing matters above India!,,0,,,,3434,6739,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,130 crore Indians stand in complete solidarity with the families of the courageous heroes who devoted their life in service of the nation. Generations to come will remember their valour. We pray the injured get well soon.,,0,,,,3552,7757,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,The horrific attack in Pulwama has saddened the entire nation. We strongly condemn the barbaric mentality that speeds such kind of hate and violence. PM @narendramodi assured the nation that the sacrifices of our martyrs shall not go in vain.,,0,,,,3819,8947,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,Pained beyond words by the terror attack on our soldiers in Pulwama (J&K). It is an act of cowardice. My deepest condolences are with the families of our soldiers who have lost their lives. Our forces will remain firm against such acts of terror and defeat them.,,0,,,,6534,21617,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,"CSR, under PM Narendra Modi ji's leadership is ’Corporate Social Responsibility’ where as CSR of DMK-Congress is ‘Corruption and Scam Raj’.",,1,,pic.twitter.com/rBjFvmo7Be,,3117,5418,Twitter for iPhone,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
2/14/2019,@AmitShah,Amit Shah,"Gathered feedbacks under 'Bharat Ke Mann ki Baat - Modi ke Saath' campaign in Erode, Tamil Nadu. #BharatKeMannKiBaat",,1,,https://pbs.twimg.com/media/DzW6fJwWoAA8h91.jpg,,2991,5245,Twitter for Android,12521866,282,2395,?,5/21/2013,,"National President of Bharatiya Janata Party / President, Gujarat Cricket Association",http://www.amitshah.co.in,,View
